model,isl,osl,concurrency,request_rate,bs,global_bs,ttft,tpot,seq/s,seq/s/gpu,tokens/s,tokens/s/gpu,tokens/s/user,num_total_gpus,tp,pp,dp,moe_tp,moe_ep,parallel,gemm,kvcache,fmha,moe,comm,memory,balance_score,num_ctx_reqs,num_gen_reqs,num_tokens,ctx_tokens,gen_tokens,backend,version,system,tokens/s/gpu_cluster
LLAMA3.1_70B,3000,150,176,3.725,176,176,268.424,268.424,3.725,1.863,555.093,277.546,3.725,2,2,1,1,1,1,tp2pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,78.295,1.173,1.0,175.0,3175.0,3000,175.0,trtllm,0.20.0,h100_sxm,277.546
LLAMA3.1_70B,3000,150,144,3.716,144,144,267.53,258.17,3.716,1.858,553.652,276.826,3.873,2,2,1,1,1,1,tp2pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,70.601,0.96,1.0,143.0,3143.0,3000,143.0,trtllm,0.20.0,h100_sxm,276.826
LLAMA3.1_70B,3000,150,128,3.703,128,128,270.454,229.613,3.703,1.852,551.78,275.89,4.355,2,2,1,1,1,1,tp2pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,66.762,0.833,2.0,126.0,3198.0,3072,126.0,trtllm,0.20.0,h100_sxm,275.89
LLAMA3.1_70B,3000,150,112,3.67,112,112,262.663,202.239,3.67,1.835,546.841,273.421,4.945,2,2,1,1,1,1,tp2pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,62.908,0.747,1.0,111.0,3111.0,3000,111.0,trtllm,0.20.0,h100_sxm,273.421
LLAMA3.1_70B,3000,150,80,3.657,80,80,278.678,139.339,3.657,1.828,544.884,272.442,7.177,2,2,1,1,1,1,tp2pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,55.069,1.042,1.0,79.0,1615.0,1536,79.0,trtllm,0.20.0,h100_sxm,272.442
LLAMA3.1_70B,3000,150,64,3.607,64,64,274.735,117.888,3.607,1.804,537.493,268.746,8.483,2,2,1,1,1,1,tp2pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,51.222,0.833,1.0,63.0,1599.0,1536,63.0,trtllm,0.20.0,h100_sxm,268.746
LLAMA3.1_70B,3000,150,56,3.566,56,56,285.501,95.167,3.566,1.783,531.378,265.689,10.508,2,2,1,1,1,1,tp2pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,49.248,1.094,1.0,55.0,1079.0,1024,55.0,trtllm,0.20.0,h100_sxm,265.689
LLAMA3.1_70B,3000,150,48,3.542,48,48,284.263,90.253,3.542,1.771,527.768,263.884,11.08,2,2,1,1,1,1,tp2pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,47.324,0.938,1.0,47.0,1071.0,1024,47.0,trtllm,0.20.0,h100_sxm,263.884
LLAMA3.1_70B,3000,150,40,3.415,40,40,280.961,77.78,3.415,1.707,508.763,254.382,12.857,2,2,1,1,1,1,tp2pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,45.401,0.781,1.0,39.0,1063.0,1024,39.0,trtllm,0.20.0,h100_sxm,254.382
LLAMA3.1_70B,3000,150,32,3.254,32,32,277.678,65.011,3.254,1.627,484.833,242.416,15.382,2,2,1,1,1,1,tp2pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,43.478,0.625,1.0,31.0,1055.0,1024,31.0,trtllm,0.20.0,h100_sxm,242.416
LLAMA3.1_70B,3000,150,28,3.116,28,28,276.102,59.241,3.116,1.558,464.353,232.177,16.88,2,2,1,1,1,1,tp2pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,42.516,0.547,1.0,27.0,1051.0,1024,27.0,trtllm,0.20.0,h100_sxm,232.177
