model,isl,osl,concurrency,request_rate,bs,global_bs,ttft,tpot,seq/s,seq/s/gpu,tokens/s,tokens/s/gpu,tokens/s/user,num_total_gpus,tp,pp,dp,moe_tp,moe_ep,parallel,gemm,kvcache,fmha,moe,comm,memory,balance_score,num_ctx_reqs,num_gen_reqs,num_tokens,ctx_tokens,gen_tokens,backend,version,system,tokens/s/gpu_cluster
LLAMA3.1_70B,3000,150,24,2.974,24,24,274.527,53.039,2.974,1.487,443.057,221.528,18.854,2,2,1,1,1,1,tp2pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,41.554,0.469,1.0,23.0,1047.0,1024,23.0,trtllm,0.20.0,h100_sxm,221.528
LLAMA3.1_70B,3000,150,24,2.822,24,24,249.724,52.753,2.822,1.411,420.513,210.257,18.956,2,2,1,1,1,1,tp2pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,41.75,0.16,1.0,23.0,3023.0,3000,23.0,trtllm,0.20.0,h100_sxm,210.257
LLAMA3.1_70B,3000,150,20,2.791,20,20,272.952,46.896,2.791,1.395,415.817,207.909,21.324,2,2,1,1,1,1,tp2pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,40.593,0.391,1.0,19.0,1043.0,1024,19.0,trtllm,0.20.0,h100_sxm,207.909
LLAMA3.1_70B,3000,150,20,2.648,20,20,249.191,46.297,2.648,1.324,394.535,197.268,21.6,2,2,1,1,1,1,tp2pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,40.789,0.133,1.0,19.0,3019.0,3000,19.0,trtllm,0.20.0,h100_sxm,197.268
LLAMA3.1_70B,3000,150,20,2.626,20,20,293.415,45.826,2.626,1.313,391.244,195.622,21.821,2,2,1,1,1,1,tp2pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,40.846,0.112,2.0,18.0,3602.0,3584,18.0,trtllm,0.20.0,h100_sxm,195.622
LLAMA3.1_70B,3000,150,16,2.552,16,16,271.291,40.804,2.552,1.276,380.257,190.129,24.508,2,2,1,1,1,1,tp2pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,39.631,0.312,1.0,15.0,1039.0,1024,15.0,trtllm,0.20.0,h100_sxm,190.129
LLAMA3.1_70B,3000,150,15,2.485,15,15,270.812,39.217,2.485,1.243,370.299,185.149,25.499,2,2,1,1,1,1,tp2pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,39.39,0.293,1.0,14.0,1038.0,1024,14.0,trtllm,0.20.0,h100_sxm,185.149
LLAMA3.1_70B,3000,150,14,2.384,14,14,270.332,38.112,2.384,1.192,355.196,177.598,26.238,2,2,1,1,1,1,tp2pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,39.15,0.273,1.0,13.0,1037.0,1024,13.0,trtllm,0.20.0,h100_sxm,177.598
LLAMA3.1_70B,3000,150,15,2.318,15,15,292.663,38.054,2.318,1.159,345.337,172.668,26.278,2,2,1,1,1,1,tp2pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,39.644,0.084,2.0,13.0,3597.0,3584,13.0,trtllm,0.20.0,h100_sxm,172.668
LLAMA3.1_70B,3000,150,13,2.305,13,13,269.853,36.527,2.305,1.153,343.481,171.741,27.377,2,2,1,1,1,1,tp2pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,38.91,0.254,1.0,12.0,1036.0,1024,12.0,trtllm,0.20.0,h100_sxm,171.741
LLAMA3.1_70B,3000,150,14,2.293,14,14,248.306,36.469,2.293,1.146,341.641,170.821,27.421,2,2,1,1,1,1,tp2pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,39.346,0.093,1.0,13.0,3013.0,3000,13.0,trtllm,0.20.0,h100_sxm,170.821
LLAMA3.1_70B,3000,150,28,4.573,28,28,286.44,35.804,4.573,1.143,681.42,170.355,27.93,4,4,1,1,1,1,tp4pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,23.101,0.099,2.0,26.0,5658.0,5632,26.0,trtllm,0.20.0,h100_sxm,170.355
LLAMA3.1_70B,3000,150,24,4.505,24,24,221.604,35.489,4.505,1.126,671.205,167.801,28.177,4,4,1,1,1,1,tp4pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,22.257,0.938,1.0,23.0,535.0,512,23.0,trtllm,0.20.0,h100_sxm,167.801
LLAMA3.1_70B,3000,150,13,2.22,13,13,248.144,34.775,2.22,1.11,330.754,165.377,28.757,2,2,1,1,1,1,tp2pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,39.106,0.087,1.0,12.0,3012.0,3000,12.0,trtllm,0.20.0,h100_sxm,165.377
LLAMA3.1_70B,3000,150,13,2.209,13,13,292.34,34.065,2.209,1.105,329.166,164.583,29.356,2,2,1,1,1,1,tp2pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,39.163,0.073,2.0,11.0,3595.0,3584,11.0,trtllm,0.20.0,h100_sxm,164.583
LLAMA3.1_70B,3000,150,24,4.327,24,24,286.085,31.892,4.327,1.082,644.74,161.185,31.356,4,4,1,1,1,1,tp4pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,22.62,0.085,2.0,22.0,5654.0,5632,22.0,trtllm,0.20.0,h100_sxm,161.185
LLAMA3.1_70B,3000,150,20,4.224,20,20,219.342,31.462,4.224,1.056,629.416,157.354,31.785,4,4,1,1,1,1,tp4pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,21.776,0.781,1.0,19.0,531.0,512,19.0,trtllm,0.20.0,h100_sxm,157.354
LLAMA3.1_70B,3000,150,20,4.193,20,20,181.709,31.215,4.193,1.048,624.694,156.173,32.036,4,4,1,1,1,1,tp4pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,21.788,0.391,1.0,19.0,1043.0,1024,19.0,trtllm,0.20.0,h100_sxm,156.173
LLAMA3.1_70B,3000,150,20,4.064,20,20,186.617,29.671,4.064,1.016,605.501,151.375,33.703,4,4,1,1,1,1,tp4pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,21.983,0.112,2.0,18.0,3602.0,3584,18.0,trtllm,0.20.0,h100_sxm,151.375
LLAMA3.1_70B,3000,150,20,4.051,20,20,210.792,29.285,4.051,1.013,603.576,150.894,34.147,4,4,1,1,1,1,tp4pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,22.022,0.098,2.0,18.0,4114.0,4096,18.0,trtllm,0.20.0,h100_sxm,150.894
LLAMA3.1_70B,3000,150,20,4.045,20,20,260.751,28.31,4.045,1.011,602.771,150.693,35.323,4,4,1,1,1,1,tp4pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,22.1,0.078,2.0,18.0,5138.0,5120,18.0,trtllm,0.20.0,h100_sxm,150.693
LLAMA3.1_70B,3000,150,20,4.023,20,20,285.731,27.985,4.023,1.006,599.476,149.869,35.733,4,4,1,1,1,1,tp4pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,22.139,0.071,2.0,18.0,5650.0,5632,18.0,trtllm,0.20.0,h100_sxm,149.869
LLAMA3.1_70B,3000,150,16,3.877,16,16,217.051,27.333,3.877,0.969,577.74,144.435,36.586,4,4,1,1,1,1,tp4pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,21.296,0.625,1.0,15.0,527.0,512,15.0,trtllm,0.20.0,h100_sxm,144.435
LLAMA3.1_70B,3000,150,16,3.841,16,16,180.651,27.107,3.841,0.96,572.328,143.082,36.89,4,4,1,1,1,1,tp4pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,21.307,0.312,1.0,15.0,1039.0,1024,15.0,trtllm,0.20.0,h100_sxm,143.082
LLAMA3.1_70B,3000,150,15,3.774,15,15,216.457,26.302,3.774,0.943,562.321,140.58,38.02,4,4,1,1,1,1,tp4pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,21.175,0.586,1.0,14.0,526.0,512,14.0,trtllm,0.20.0,h100_sxm,140.58
LLAMA3.1_70B,3000,150,16,3.769,16,16,268.087,26.142,3.769,0.942,561.594,140.398,38.252,4,4,1,1,1,1,tp4pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,21.424,0.125,1.0,15.0,2575.0,2560,15.0,trtllm,0.20.0,h100_sxm,140.398
LLAMA3.1_70B,3000,150,15,3.652,15,15,210.335,23.646,3.652,0.913,544.191,136.048,42.29,4,4,1,1,1,1,tp4pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,21.421,0.073,2.0,13.0,4109.0,4096,13.0,trtllm,0.20.0,h100_sxm,136.048
LLAMA3.1_70B,3000,150,15,3.646,15,15,285.274,22.166,3.646,0.911,543.237,135.809,45.114,4,4,1,1,1,1,tp4pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,21.538,0.053,2.0,13.0,5645.0,5632,13.0,trtllm,0.20.0,h100_sxm,135.809
LLAMA3.1_70B,3000,150,11,3.115,11,11,284.9,18.21,3.115,0.779,464.097,116.024,54.914,4,4,1,1,1,1,tp4pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,21.057,0.039,2.0,9.0,5641.0,5632,9.0,trtllm,0.20.0,h100_sxm,116.024
LLAMA3.1_70B,3000,150,10,2.965,10,10,259.827,17.638,2.965,0.741,441.843,110.461,56.696,4,4,1,1,1,1,tp4pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,20.898,0.039,2.0,8.0,5128.0,5120,8.0,trtllm,0.20.0,h100_sxm,110.461
LLAMA3.1_70B,3000,150,9,2.801,9,9,234.766,17.066,2.801,0.7,417.371,104.343,58.597,4,4,1,1,1,1,tp4pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,20.738,0.039,2.0,7.0,4615.0,4608,7.0,trtllm,0.20.0,h100_sxm,104.343
LLAMA3.1_70B,3000,150,9,2.777,9,9,284.726,16.234,2.777,0.694,413.822,103.455,61.6,4,4,1,1,1,1,tp4pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,20.816,0.032,2.0,7.0,5639.0,5632,7.0,trtllm,0.20.0,h100_sxm,103.455
LLAMA3.1_70B,3000,150,8,2.575,8,8,259.665,15.832,2.575,0.644,383.743,95.936,63.165,4,4,1,1,1,1,tp4pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,20.657,0.031,2.0,6.0,5126.0,5120,6.0,trtllm,0.20.0,h100_sxm,95.936
LLAMA3.1_70B,3000,150,15,4.846,15,15,264.722,15.654,4.846,0.606,722.065,90.258,63.882,8,8,1,1,1,1,tp8pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,12.579,0.039,3.0,12.0,7692.0,7680,12.0,trtllm,0.20.0,h100_sxm,90.258
LLAMA3.1_70B,3000,150,7,2.367,7,7,284.564,14.306,2.367,0.592,352.753,88.188,69.898,4,4,1,1,1,1,tp4pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,20.576,0.025,2.0,5.0,5637.0,5632,5.0,trtllm,0.20.0,h100_sxm,88.188
LLAMA3.1_70B,3000,150,13,4.477,13,13,281.019,14.017,4.477,0.56,667.122,83.39,71.343,8,8,1,1,1,1,tp8pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,12.498,0.032,3.0,10.0,8202.0,8192,10.0,trtllm,0.20.0,h100_sxm,83.39
LLAMA3.1_70B,3000,150,6,2.178,6,6,234.524,13.953,2.178,0.545,324.538,81.135,71.669,4,4,1,1,1,1,tp4pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,20.378,0.026,2.0,4.0,4612.0,4608,4.0,trtllm,0.20.0,h100_sxm,81.135
LLAMA3.1_70B,3000,150,12,4.268,12,12,264.58,13.728,4.268,0.533,635.887,79.486,72.841,8,8,1,1,1,1,tp8pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,12.399,0.031,3.0,9.0,7689.0,7680,9.0,trtllm,0.20.0,h100_sxm,79.486
LLAMA3.1_70B,3000,150,11,4.17,11,11,231.746,13.217,4.17,0.521,621.268,77.659,75.66,8,8,1,1,1,1,tp8pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,12.261,0.033,3.0,8.0,6664.0,6656,8.0,trtllm,0.20.0,h100_sxm,77.659
LLAMA3.1_70B,3000,150,10,3.963,10,10,210.742,12.867,3.963,0.495,590.419,73.802,77.72,8,8,1,1,1,1,tp8pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,12.15,0.033,2.0,8.0,6008.0,6000,8.0,trtllm,0.20.0,h100_sxm,73.802
LLAMA3.1_70B,3000,150,10,3.94,10,10,264.498,11.868,3.94,0.493,587.064,73.383,84.262,8,8,1,1,1,1,tp8pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,12.279,0.026,3.0,7.0,7687.0,7680,7.0,trtllm,0.20.0,h100_sxm,73.383
LLAMA3.1_70B,3000,150,9,3.654,9,9,248.071,11.691,3.654,0.457,544.507,68.063,85.536,8,8,1,1,1,1,tp8pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,12.179,0.025,3.0,6.0,7174.0,7168,6.0,trtllm,0.20.0,h100_sxm,68.063
LLAMA3.1_70B,3000,150,8,3.473,8,8,210.674,11.371,3.473,0.434,517.445,64.681,87.939,8,8,1,1,1,1,tp8pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,12.03,0.027,2.0,6.0,6006.0,6000,6.0,trtllm,0.20.0,h100_sxm,64.681
LLAMA3.1_70B,3000,150,2,1.102,2,2,132.392,10.997,1.102,0.138,164.174,20.522,90.934,8,8,1,1,1,1,tp8pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,11.329,0.026,1.0,1.0,1537.0,1536,1.0,trtllm,0.20.0,h100_sxm,20.522
LLAMA3.1_70B,3000,150,1,0.609,1,1,169.043,10.84,0.609,0.076,90.667,11.333,92.248,8,8,1,1,1,1,tp8pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,11.22,0.039,1.0,1.0,512.0,512,1.0,trtllm,0.20.0,h100_sxm,11.333
