model,isl,osl,concurrency,request_rate,(p)bs,(p)global_bs,(p)workers,(d)bs,(d)global_bs,(d)workers,ttft,tpot,seq/s,seq/s/gpu,tokens/s,tokens/s/gpu,tokens/s/user,(p)seq/s/worker,(d)seq/s/worker,num_total_gpus,(p)tp,(p)pp,(p)dp,(p)moe_tp,(p)moe_ep,(p)parallel,(p)gemm,(p)kvcache,(p)fmha,(p)moe,(p)comm,(p)memory,(p)backend,(p)version,(p)system,(d)tp,(d)pp,(d)dp,(d)moe_tp,(d)moe_ep,(d)parallel,(d)gemm,(d)kvcache,(d)fmha,(d)moe,(d)comm,(d)memory,(d)backend,(d)version,(d)system,tokens/s/gpu_cluster
LLAMA3.1_70B,3000,150,112,25.654,1,1,7,112,112,1,245.574,28.878,25.654,1.603,3848.04,240.502,34.628,4.072,26.029,16,2,1,1,1,1,tp2pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,36.209,trtllm,0.20.0,h100_sxm,2,1,1,1,1,tp2pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,62.667,trtllm,0.20.0,h100_sxm,240.502
LLAMA3.1_70B,3000,150,108,25.406,1,1,7,108,108,1,245.574,28.53,25.406,1.588,3810.9,238.181,35.051,4.072,25.406,16,2,1,1,1,1,tp2pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,36.209,trtllm,0.20.0,h100_sxm,2,1,1,1,1,tp2pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,61.706,trtllm,0.20.0,h100_sxm,238.181
LLAMA3.1_70B,3000,150,64,18.324,1,1,5,64,64,1,245.574,22.806,18.324,1.527,2748.6,229.05,43.848,4.072,18.834,12,2,1,1,1,1,tp2pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,36.209,trtllm,0.20.0,h100_sxm,2,1,1,1,1,tp2pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,51.132,trtllm,0.20.0,h100_sxm,171.78750000000002
LLAMA3.1_70B,3000,150,60,17.971,1,1,5,60,60,1,245.574,22.407,17.971,1.498,2695.65,224.638,44.628,4.072,17.971,12,2,1,1,1,1,tp2pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,36.209,trtllm,0.20.0,h100_sxm,2,1,1,1,1,tp2pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,50.171,trtllm,0.20.0,h100_sxm,168.4785
LLAMA3.1_70B,3000,150,56,14.659,1,1,4,56,56,1,245.574,22.008,14.659,1.466,2198.88,219.888,45.437,4.072,17.077,10,2,1,1,1,1,tp2pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,36.209,trtllm,0.20.0,h100_sxm,2,1,1,1,1,tp2pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,49.209,trtllm,0.20.0,h100_sxm,137.43
LLAMA3.1_70B,3000,150,52,21.989,1,1,6,52,52,1,245.574,14.905,21.989,1.374,3298.32,206.145,67.09,4.072,23.414,16,2,1,1,1,1,tp2pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,36.209,trtllm,0.20.0,h100_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,25.622,trtllm,0.20.0,h100_sxm,206.145
LLAMA3.1_70B,3000,150,48,21.987,1,1,6,48,48,1,245.574,14.651,21.987,1.374,3298.05,206.128,68.253,4.072,21.987,16,2,1,1,1,1,tp2pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,36.209,trtllm,0.20.0,h100_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,25.141,trtllm,0.20.0,h100_sxm,206.128
LLAMA3.1_70B,3000,150,40,18.324,1,1,5,40,40,1,245.574,14.179,18.324,1.309,2748.6,196.329,70.528,4.072,18.934,14,2,1,1,1,1,tp2pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,36.209,trtllm,0.20.0,h100_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,24.18,trtllm,0.20.0,h100_sxm,171.787875
LLAMA3.1_70B,3000,150,36,17.329,1,1,5,36,36,1,245.574,13.942,17.329,1.238,2599.35,185.668,71.724,4.072,17.329,14,2,1,1,1,1,tp2pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,36.209,trtllm,0.20.0,h100_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,23.699,trtllm,0.20.0,h100_sxm,162.4595
LLAMA3.1_70B,3000,150,30,14.659,1,1,4,30,30,1,245.574,13.613,14.659,1.222,2198.88,183.24,73.461,4.072,14.791,12,2,1,1,1,1,tp2pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,36.209,trtllm,0.20.0,h100_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,22.978,trtllm,0.20.0,h100_sxm,137.43
LLAMA3.1_70B,3000,150,28,13.9,1,1,4,28,28,1,245.574,13.519,13.9,1.158,2085.0,173.75,73.968,4.072,13.9,12,2,1,1,1,1,tp2pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,36.209,trtllm,0.20.0,h100_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,22.738,trtllm,0.20.0,h100_sxm,130.3125
