model,isl,osl,concurrency,request_rate,bs,global_bs,ttft,tpot,seq/s,seq/s/gpu,tokens/s,tokens/s/gpu,tokens/s/user,num_total_gpus,tp,pp,dp,moe_tp,moe_ep,parallel,gemm,kvcache,fmha,moe,comm,memory,balance_score,num_ctx_reqs,num_gen_reqs,num_tokens,ctx_tokens,gen_tokens,backend,version,system,tokens/s/gpu_cluster
LLAMA3.1_70B,4000,500,48,2.87,48,48,254.873,33.268,2.87,0.717,1432.065,358.016,30.059,4,4,1,1,1,1,tp4pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,27.626,0.375,1.0,47.0,1071.0,1024,47.0,trtllm,0.20.0,h100_sxm,358.016
LLAMA3.1_70B,4000,500,48,2.839,48,48,278.388,33.174,2.839,0.71,1416.851,354.213,30.144,4,4,1,1,1,1,tp4pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,27.743,0.15,1.0,47.0,2607.0,2560,47.0,trtllm,0.20.0,h100_sxm,354.213
LLAMA3.1_70B,4000,500,48,2.806,48,48,213.083,33.129,2.806,0.702,1400.352,350.088,30.185,4,4,1,1,1,1,tp4pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,27.853,0.096,1.0,47.0,4047.0,4000,47.0,trtllm,0.20.0,h100_sxm,350.088
LLAMA3.1_70B,4000,500,48,2.798,48,48,242.582,33.055,2.798,0.699,1396.128,349.032,30.253,4,4,1,1,1,1,tp4pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,27.9,0.083,2.0,46.0,4654.0,4608,46.0,trtllm,0.20.0,h100_sxm,349.032
LLAMA3.1_70B,4000,500,48,2.791,48,48,267.562,32.984,2.791,0.698,1392.901,348.225,30.318,4,4,1,1,1,1,tp4pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,27.939,0.075,2.0,46.0,5166.0,5120,46.0,trtllm,0.20.0,h100_sxm,348.225
LLAMA3.1_70B,4000,500,40,2.677,40,40,252.228,29.681,2.677,0.669,1335.969,333.992,33.692,4,4,1,1,1,1,tp4pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,26.252,0.312,1.0,39.0,1063.0,1024,39.0,trtllm,0.20.0,h100_sxm,333.992
LLAMA3.1_70B,4000,500,40,2.64,40,40,277.066,29.646,2.64,0.66,1317.536,329.384,33.732,4,4,1,1,1,1,tp4pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,26.369,0.125,1.0,39.0,2599.0,2560,39.0,trtllm,0.20.0,h100_sxm,329.384
LLAMA3.1_70B,4000,500,40,2.622,40,40,212.422,29.416,2.622,0.655,1308.271,327.068,33.996,4,4,1,1,1,1,tp4pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,26.479,0.08,1.0,39.0,4039.0,4000,39.0,trtllm,0.20.0,h100_sxm,327.068
LLAMA3.1_70B,4000,500,40,2.614,40,40,241.908,29.325,2.614,0.654,1304.562,326.14,34.101,4,4,1,1,1,1,tp4pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,26.526,0.069,2.0,38.0,4646.0,4608,38.0,trtllm,0.20.0,h100_sxm,326.14
LLAMA3.1_70B,4000,500,40,2.6,40,40,291.868,29.195,2.6,0.65,1297.308,324.327,34.252,4,4,1,1,1,1,tp4pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,26.604,0.057,2.0,38.0,5670.0,5632,38.0,trtllm,0.20.0,h100_sxm,324.327
LLAMA3.1_70B,4000,500,32,2.44,32,32,249.527,26.011,2.44,0.61,1217.594,304.399,38.446,4,4,1,1,1,1,tp4pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,24.878,0.25,1.0,31.0,1055.0,1024,31.0,trtllm,0.20.0,h100_sxm,304.399
LLAMA3.1_70B,4000,500,28,2.284,28,28,247.98,24.295,2.284,0.571,1139.571,284.893,41.16,4,4,1,1,1,1,tp4pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,24.191,0.219,1.0,27.0,1051.0,1024,27.0,trtllm,0.20.0,h100_sxm,284.893
LLAMA3.1_70B,4000,500,28,2.273,28,28,261.489,24.263,2.273,0.568,1134.053,283.513,41.214,4,4,1,1,1,1,tp4pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,24.23,0.146,1.0,27.0,1563.0,1536,27.0,trtllm,0.20.0,h100_sxm,283.513
LLAMA3.1_70B,4000,500,28,2.256,28,28,274.944,24.142,2.256,0.564,1125.785,281.446,41.422,4,4,1,1,1,1,tp4pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,24.309,0.088,1.0,27.0,2587.0,2560,27.0,trtllm,0.20.0,h100_sxm,281.446
LLAMA3.1_70B,4000,500,28,2.239,28,28,211.361,23.882,2.239,0.56,1117.45,279.363,41.872,4,4,1,1,1,1,tp4pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,24.418,0.056,1.0,27.0,4027.0,4000,27.0,trtllm,0.20.0,h100_sxm,279.363
LLAMA3.1_70B,4000,500,28,2.238,28,28,290.773,23.421,2.238,0.559,1116.649,279.162,42.697,4,4,1,1,1,1,tp4pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,24.543,0.04,2.0,26.0,5658.0,5632,26.0,trtllm,0.20.0,h100_sxm,279.162
LLAMA3.1_70B,4000,500,24,2.119,24,24,299.75,22.564,2.119,0.53,1057.324,264.331,44.318,4,4,1,1,1,1,tp4pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,23.493,0.375,1.0,23.0,535.0,512,23.0,trtllm,0.20.0,h100_sxm,264.331
LLAMA3.1_70B,4000,500,16,1.675,16,16,292.923,19.004,1.675,0.419,835.588,208.897,52.62,4,4,1,1,1,1,tp4pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,22.12,0.25,1.0,15.0,527.0,512,15.0,trtllm,0.20.0,h100_sxm,208.897
LLAMA3.1_70B,4000,500,16,1.651,16,16,257.943,18.98,1.651,0.413,823.855,205.964,52.687,4,4,1,1,1,1,tp4pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,22.17,0.083,1.0,15.0,1551.0,1536,15.0,trtllm,0.20.0,h100_sxm,205.964
LLAMA3.1_70B,4000,500,16,1.647,16,16,272.581,18.72,1.647,0.412,822.012,205.503,53.419,4,4,1,1,1,1,tp4pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,22.248,0.05,1.0,15.0,2575.0,2560,15.0,trtllm,0.20.0,h100_sxm,205.503
LLAMA3.1_70B,4000,500,16,1.635,16,16,210.18,18.425,1.635,0.409,815.706,203.927,54.274,4,4,1,1,1,1,tp4pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,22.358,0.032,1.0,15.0,4015.0,4000,15.0,trtllm,0.20.0,h100_sxm,203.927
LLAMA3.1_70B,4000,500,16,1.632,16,16,239.591,18.284,1.632,0.408,814.214,203.553,54.693,4,4,1,1,1,1,tp4pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,22.404,0.028,2.0,14.0,4622.0,4608,14.0,trtllm,0.20.0,h100_sxm,203.553
LLAMA3.1_70B,4000,500,16,1.608,16,16,289.55,18.278,1.608,0.402,802.198,200.549,54.712,4,4,1,1,1,1,tp4pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,22.482,0.023,2.0,14.0,5646.0,5632,14.0,trtllm,0.20.0,h100_sxm,200.549
LLAMA3.1_70B,4000,500,15,1.571,15,15,210.061,17.939,1.571,0.393,784.096,196.024,55.743,4,4,1,1,1,1,tp4pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,22.186,0.03,1.0,14.0,4014.0,4000,14.0,trtllm,0.20.0,h100_sxm,196.024
LLAMA3.1_70B,4000,500,15,1.561,15,15,264.45,17.736,1.561,0.39,779.033,194.758,56.383,4,4,1,1,1,1,tp4pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,22.271,0.023,2.0,13.0,5133.0,5120,13.0,trtllm,0.20.0,h100_sxm,194.758
LLAMA3.1_70B,4000,500,15,1.557,15,15,289.429,17.632,1.557,0.389,777.131,194.283,56.714,4,4,1,1,1,1,tp4pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8,half,22.31,0.021,2.0,13.0,5645.0,5632,13.0,trtllm,0.20.0,h100_sxm,194.283
